95130,天语 S717 3G手机（黑色）WCDMA/GSM 双卡双待,天语（K-Touch ）,0,0,366,-,-,
95133,中兴（ZTE）N881E 3G手机（黑色）CDMA2000/CDMA,中兴（ZTE ）,2,65,392,4.1-4.9英寸,Android（安卓）,
95171,联想（Lenovo）A298T 3G手机  TD-SCDMA/GSM ,诺和（Novo）,0,3,399,3.6-4.0英寸,Android（安卓）,
95172,Changhong/长虹 L03 学友手机 老人手机 双卡双待 超长待机20天,长虹（CHANGHONG）,0,0,348,3.5英寸以下,非智能操作系统,
95176,诺基亚Lumia920 TD-SCDMA/WCDMA/GSM wp8.0系统4.5寸屏联通\移动3G手机,小米（MI）,0,2044,1530,-,微软WindowsPhone,
95177,长虹008-III汗马升级版GSM手机(冠军金)双卡双待 双电（4400毫安+ 4000毫安）超长待机,长虹（CHANGHONG）,4,91,496,-,其他,
95178,Royalstar 荣事达RSD-i938(黑色+红色)老人专用关爱手机,荣事达（Royalstar）,1,2,89,-,-,
95179,Royalstar 荣事达RSD-i968(黑色)老人专用关爱手机,荣事达（Royalstar）,0,1,128,-,-,
95181,K-Touch 天语 W688 双卡双待 3G智能手机(4.0英寸屏幕，1GHz处理器，500W像素),天语（K-Touch ）,0,0,448,4.5-3.1英寸,其他,
95183,SAMSUNG 三星 Galaxy Premier I9260 智能3G手机,三星（SAMSUNG）,0,0,948,4.1-4.9英寸,Android（安卓）,
95185,Newsmy/纽曼 N1手机 双核1G 安卓4.0智能 4.3寸 （黑色）,纽曼（Newsmy）,0,0,436,4.1-4.9英寸,Android（安卓）,
95190,朵唯女性手机iEva D910 双核1G双卡双待安卓智能全触屏手机,朵唯（iEva）,0,0,888,4.1-4.9英寸,Android（安卓）,
95205,HTC手机C620e（酷黑）,HTC,0,0,1536,-,微软WindowsPhone,
95209,K-Touch 天语 E780智能手机 (4寸屏，双核处理器，安卓4.0系统),天语（K-Touch ）,0,0,642,3.6-4.0英寸,Android（安卓）,
95217,Dopod 多普达 T8388 移动3G TD WM 白色,欧博（OPO）,0,0,999,3.6-4.0英寸,Windows Phone,
95218,TCL W989 3G手机（中国红）WCDMA/GSM 双卡双待单通,王牌（TCL）,0,0,598,3.6-4.0英寸,Android（安卓）,
95221,K-Touch 天语 V9 大黄蜂II勇气版 智能手机(Android 4.0系统,4.5英寸屏幕,1.5GHz四核,500W像素),天语（K-Touch ）,0,1,472,4.1-4.9英寸,Android（安卓）,
95243,酷派F800 3G手机 （TD-SCDMA/GSM、300万像素摄像头、支持CMMB无线电视、棕红色）,酷派（Coolpad）,0,0,449,3.6-4.0英寸,其它智能系统,
95244,OINOM 乐目 LM128 双卡双待 防护等级IP-67 三防手机(迷彩),乐目（OINOM）,57,1669,650,-,其他,
95245,Lenovo 联想 K860i 3G智能手机 (白色) Android4.0系统  5.0寸屏幕 1.6G四核CPU 2GBRAM 超性价比手机,诺和（Novo）,0,0,868,-,-,
95246,Daxian 大显 GS2000直板双卡双待老年人手机大字 神秘黑,大显（Daxian）,0,6,156,-,其他,
95247,中兴 U288 老年手机 大声音 大字体 自带FM SOS急救 （白色）,中兴（ZTE ）,15,1562,282,3.5英寸以下,非智能操作系统,
95248,索尼 Xperia VC LT25C 1300万像素 1G+8GROM 4.3英寸 双核,索尼（SONY）,0,1,1099,-,-,
